,地区,发病数,死亡数,发病率,死亡率,年份,总人口数
340,吉林省,878,0,3.19,0.0,2016,2733
341,黑龙江省,1052,0,2.7446,0.0,2016,3799
342,上海市,4771,0,19.6687,0.0,2016,2420
343,江苏省,5218,0,6.5552,0.0,2016,7999
344,浙江省,14394,2,26.1329,0.0036,2016,5590
345,安徽省,14451,0,23.7568,0.0,2016,6196
346,福建省,10332,1,27.1466,0.0026,2016,3874
347,江西省,9462,2,20.8315,0.0044,2016,4592
348,山东省,7187,16,7.3416,0.0163,2016,9947
349,河南省,22148,3,23.4718,0.0032,2016,9532
350,湖北省,11610,0,19.9622,0.0,2016,5885
351,湖南省,15874,1,23.5616,0.0015,2016,6822
352,广东省,84209,8,78.5239,0.0075,2016,10999
353,海南省,1047,0,11.5885,0.0,2016,917
354,重庆市,3152,2,10.5369,0.0067,2016,3048
355,四川省,3991,1,4.9028,0.0012,2016,8262
356,贵州省,3419,0,9.7462,0.0,2016,3555
357,云南省,2656,0,5.6344,0.0,2016,4771
358,陕西省,5975,0,15.8273,0.0,2016,3813
359,甘肃省,8479,8,32.7276,0.0309,2016,2610
360,青海省,767,0,13.1466,0.0,2016,593
361,新疆,2445,2,10.6375,0.0087,2016,2398
